run_no,best_fitness,genotype_hash,genotype,timestamp
1,2602.3096,09dc6d567b351f4b839e0b7fe708de219c7c25c33adc9835dfa3c03b5871cad9,"[ 50.083447    6.2981524 -33.864025    4.102568   71.81905    45.5282
  29.223906   13.483356   20.66206   -56.768116   46.485588  -68.76744
  69.78786   -18.77516   -45.185055   26.726313    9.414573  -58.74533
  59.003395  -41.007206 ]",0
1,2601.379,641f24a77925175d006ecd03c6dc222ffb319aa23bc0e02214ac8ee3114d0f8a,"[ 50.083447    6.2981524 -33.864025    4.102568   71.81905    45.5282
  29.223906   13.483356   17.616222  -56.768116   46.485588  -66.63957
  69.78786   -18.77516   -45.55893    25.457111    9.414573  -58.398212
  59.003395  -41.007206 ]",5
1,2600.9727,bfeead3936ee2249739a6d22d36315a507b389f48aebf2cb6e1d77880e691435,"[ 50.083447    7.492586  -33.864025    4.8647294  70.97653    45.5282
  29.223906   13.483356   17.616222  -56.768116   48.272278  -65.94175
  70.11886   -18.77516   -45.55893    25.457111    9.414573  -58.398212
  60.459557  -40.8557   ]",10
1,2600.7244,8be4e8e24a039873c2d7de8520dd07e01e36437beec540b1848fe768ecf07de9,"[ 50.083447    7.492586  -33.62162     4.8647294  70.97653    45.5282
  29.439438   13.483356   17.616222  -56.099518   48.272278  -65.94175
  71.69183   -17.625383  -45.55893    25.457111    9.465792  -57.425327
  60.459557  -40.8557   ]",15
1,2600.549,fa5d4f64806e46acf72db89b4b952d8d1570840573a1acf38764985818be0cae,"[ 49.69069     7.492586  -32.749054    4.8647294  70.97653    45.5282
  29.439438   13.483356   16.965612  -56.099518   48.272278  -65.619255
  71.69183   -17.625383  -45.55893    25.457111    9.465792  -57.425327
  59.922863  -40.8557   ]",20
1,2600.455,d43ec9ed83bb9f40e64a947608d60269cf2e093b56dd27f12912b488edca5383,"[ 49.69069     7.492586  -32.749054    4.8647294  70.97653    45.5282
  29.439438   12.821737   16.965612  -56.099518   47.873238  -65.619255
  71.69183   -17.625383  -45.55893    25.457111    9.465792  -57.425327
  59.922863  -40.8557   ]",25
1,2600.3896,29d110dc70dc0a8d25d4b5353bb5ce00b5b6bdd809fc7ccc375c96b1c186d50f,"[ 49.69069     7.492586  -32.749054    4.8647294  70.64966    45.5282
  29.439438   13.007175   16.653654  -56.099518   47.320557  -65.619255
  71.1518    -17.625383  -45.55893    25.457111    9.951738  -56.7372
  59.922863  -40.12677  ]",30
1,2600.3042,be736b120a2ca464c3c5594b97ed55a491ddcf1e85ae1064e947e0e82b62ad85,"[ 49.162292    7.492586  -32.749054    4.8647294  70.64966    45.5282
  29.439438   12.740642   16.653654  -56.099518   47.873238  -65.619255
  71.1518    -18.082077  -45.55893    25.457111    9.951738  -56.7372
  59.922863  -40.12677  ]",35
1,2600.2354,693600088c3e37e0eca26bb87ccfc26fcd77e80d0a5c1b765fd562f198e6655c,"[ 49.162292    7.492586  -32.749054    4.8647294  70.64966    44.685497
  29.439438   12.740642   16.653654  -56.52023    47.873238  -65.619255
  71.1518    -18.082077  -45.55893    26.350504    9.951738  -56.7372
  59.922863  -40.12677  ]",40
1,2600.1785,e2b553548e81befebbf2acbb275d0f4bd9e606a47569116f44da54fafbbdf797,"[ 49.162292    7.492586  -32.749054    4.8647294  70.64966    44.685497
  29.439438   12.740642   16.858747  -56.33717    47.873238  -65.31736
  71.1518    -18.082077  -45.55893    26.113718    9.951738  -57.18888
  59.922863  -40.48066  ]",45
1,2600.14,4c71d7582def8c949b9e0b6634831909cf5333a10df6b9a188980678ae7aec95,"[ 49.162292    7.492586  -32.749054    4.8647294  70.64966    44.913082
  29.439438   12.740642   16.858747  -56.33717    47.777153  -65.31736
  71.1518    -18.082077  -45.55893    26.113718    9.951738  -57.18888
  59.922863  -40.48066  ]",50
