run_no,best_fitness,genotype_hash,timestamp
2,2627.993,94b7ef827a4cf712e6f628a04906bdf9580c2658a579202f88dbbf8f2105b498,0
2,2625.509,a5f3343445f42f6540cb1fc60fcea6ea21817930bdbc5296a26af285fcfdc80e,5
2,2622.5852,93c7ed58e11a5956140ec523f0fb6e3a61b10209c8bb7f260a32a529b6b28594,10
2,2621.8127,fb0a2470b02acb9d67a5a4afc26f4ed9238cf5fcc180064a3e1c72d3c8d71bd8,15
2,2621.5645,997dfc64623441670a2b906ee9997e56138a62c45bf420bcad1116bf898d37b0,20
2,2620.6157,c6c52d766b477ec3a32ee6ce92c6f61ffa76db7ba352f1d9226ba26e3fb1d753,25
2,2620.1296,542e09f3f9b04c0b2dfbc32ac0b8e82643b48da8ac27580ba3bb4fc841367260,30
2,2619.886,3d5639bbb07177bba31675389dad1026aa89c9b2a2bbd883c2f762d906baf991,35
2,2619.7607,130b89f312f7c76c55af0e7c9d69b2d2c855df9ab29f4e9fdcb3bf7eaec57c2d,40
2,2619.7014,b39b6fa9665d7f14e8c0fc1a9008c1a4235df4a139f24d0a59c0de15e82ed31b,45
2,2619.6501,037f8d2e27cbe4f89df231b07cbb68762e1c37682cc42dfffc86d00edc8e10f4,50
2,2611.2065,76f4c7408c58b9a0bce64c2ddc440c58fa5c1bd360134a51ad0b22f0d738292f,55
2,2610.8196,5c057971bac6d0a145bfb4bc3871b5a70ce9c671fbcb2898be8c9d61de7dcca7,60
2,2610.5967,957b5fa0ab09f97045b06e10000d0c03bccc2b89ced5f5a0d5338468bfae9de4,65
2,2608.9614,bb51ef8cdbcc626b5a59d07bb770cf414d3636189b94e5cb8d21934d7e0b7283,70
2,2607.1165,5b75a7b2eb7a0ddbf98849284341f5618c48f4e21de3135edaaf91611d4f0795,75
2,2606.377,9d053b8ff5cb022e2ffc7b56cf22d652693893c5339ca041092ddda740aac791,80
2,2604.2788,40f87cd003eaddc07065e0a23378aa630e73ec92d48dcdc0f71b7ec76a63df34,85
2,2602.4692,987d1cd70b9aae4f16a393eccf268cb88c624c215a54c70593be2f61b495026c,90
3,2615.0205,1c8985fcf5bb09f4248f33ceb780743464e39e5515f6de3709d502b0dc7f2c6c,0
3,2614.125,eb975abf178031ca184429d4ab098997d6042e14e570f49104ff84bb7bc36caa,5
3,2613.0063,6427ddcbcd6e100cd6f7575951493d099bc4053dbb25d0ee7d3e5c4f9b08ff18,10
3,2611.6216,ff0e7611f1a088e403bac0e64fa8063895e20f79aad8af288e93e46773892907,15
3,2609.8423,f6805010a8107a8409506683841755934b370637d62504a02725be4e5f7109e5,20
3,2608.7744,beb896a74b22875740cca7f1749e11082472e54a0376877749d8f5f8223132a7,25
3,2605.9246,72954651c006d1d1da40c14cd1684758a32448bca778099e0108b5e1c1566914,30
3,2604.9016,7887e9a24d8ecf80a243bc5b7b039a6ff946cf4d052536c2a7fbecb7c77a2e5c,35
3,2602.0144,d9fe29769ef4a2d31dbccbea1fabb3d2ee1806d3de7dc39d0652e1b78e0ee18a,40
3,2601.0588,1d0b016cbf43eb7f6c5b378ca2b4c13ddcf71f3ad8308a7bd552777b0f3e4f78,45
3,2600.6697,bf544110955d4c557968fc10ad8748d75a53251e931850b18b8d2afd9ca2cba9,50
3,2600.5315,326cacdf1c28354d97703d600336b1c0f2828e427eaac98085663fc92a3ca509,55
3,2600.4524,f911d6495a91bb33828b56deb5c0a1fe929191fcf7fb512a1a9e442788ccc035,60
3,2600.367,aefe7d6226ee7ba0e954a60b2629e7a8b98392c285c6de83392d6cd26fe1e6c6,65
3,2600.3325,f5bc51c79168e0a7911054cc6c5f97e499568bc533fff44f48e3e8e9d940ed80,70
3,2600.3267,a296bb5606a9d4292df4a444d4219fdfdda917bc589fb9eca10218a93e4ed368,75
3,2600.3057,38ad2d3c941681a9b43585648f868222382a521a9ee8115b9d4bc6b080c7c236,80
3,2600.289,ba636b31eaeaca60b663f3549455385a829ec9e2ce96b2f09a29aa65435b6f5d,85
3,2600.2883,5065b00abd43efbf838026b166fe32d9a8778a2552577504e3dc49244d760ddb,90
3,2600.2878,a80e0f009eb66383915af826ec6a6ed8c5320feb2e8c823f07ffaf66b610b3dd,95
3,2600.275,f29ca90280b1891459da382c3bdb385c729a56af20c8299feb507d6788c39f95,100
3,2600.261,dbe9e75bff99a3eda207fa5c8db7c1a59a9517005e2784c4b1bcd0f635c8d3d0,105
3,2600.2273,c2ddf7f6ca16a9fbf500c174b82a936d09d4843f42f827aa1d44d1a3d1eba18d,110
3,2600.2036,fbb1a645957629b913438f84c733d5d9f3be33f7d5a1173c7543e85e054946ac,115
3,2600.1863,c59384c06ad299ec26005e0b80556ba879ab03733b0bbb314c7dc9b52ea37078,120
3,2600.161,bb3f53ddd69bdb906c16664177b28bb7ba8062bab1b5977ea928320ef7f7a1cb,125
3,2600.1587,7675c615e3de03e3c6ba9164110c7a2b1aa34b673b7c173d07d40addd90941ad,135
3,2600.1426,1b78a01df3f33dc527287ca100ac20baf4edcf7e7601c71b192a0fd8508c44b6,140
3,2600.1362,6f3e9089f1acc971562b22f06e54c487303e03710b21545598ba1fa64d61015c,145
3,2600.0889,0a8352acbf20d80c655342fcf5e69972d5fd18e393fea8afa3fc21552f6ad2bd,150
3,2600.0806,92fd94427729c0bd868465a5977741d785d9fbb5c7d8af68d108e2719da94242,155
3,2600.0793,cb0635a46bb0ad65610a3dadce88c8b20f848c8611590350f101b7c314c9d76a,160
4,2625.1494,f99dca71930e8e7787e22be339d2772183a6f44f87eb546de5e97d98301112b7,0
4,2625.0737,deaa2a07966516ce7740c3acf4586bb5cdd458eb181adf273c5169e3c7cbd0de,5
4,2625,bc5dd7b7507199648f68aba101719523bd58e300166793823fb3870e7809029a,10
4,2624.9292,0186ea603206dc60ca2d3297c0e725c722edf78bb28d0e86c9d3f764bf4186b0,15
4,2624.8672,5cbc89884dd461b1c70d6195cf8473e50c2d3ca5e2f5299caf0df4e88ce896bd,20
4,2624.8074,603d32306c47a8f066dc0b04cc978badb7a90339d37ff596cca17f3a8881e67b,25
4,2624.519,154f50be1e8c3403dc47667fb5a918d5782cf79c95df12d22108f4a52521a3cc,30
4,2624.0447,65721ef928aaab08a05a4e691472a93a1719d10946b060bdbeb817d31b589d64,35
4,2623.9106,c743186710d0193db0a126c675bae8ff0f1ee3680df696e604fe23c59742dbc9,40
4,2612.9453,d720b4bccac16c2c60367c3cd92ac098918e25c5d1db333db20a3d247c4bc5d4,45
4,2612.8137,e441e362f74a914c748878e25c15f6eb02f7481ed5278ae22406096e1853e0fa,50
4,2610.6719,e0a7916a5f5866caf31ad29fbbedc67afa7318cd4f8d6c6fbaffd634dc9fd266,55
4,2607.2563,8650d1bda606a6f45b058d87d688bc5530245f9434d38387e026abbd9a3adae2,60
4,2605.8186,bd16090b4d506ac946bfd0add90d51dbb92ae0f7469a3cb94a5f64be2f6cb3ff,65
4,2603.5986,d40f1c8dfa7aa72e45e15b5e179287d768b49b0e315319c03f749dd78d09a7d6,70
4,2602.0767,fd223819dcaf0c1172f1e61d56cb56d846dd2b81e354f27de6d37449315f5098,75
4,2601.5227,10cde06fd8b603b8b67ab7cf44444a9403f93971dd50eb365653d382a68594ad,80
4,2600.588,a24388a88dff6dd13f38087efbd1db24fbf5fc4a2c9a1723e975c3a9329ef5ae,85
4,2600.5059,32f7671d0d3314127be296256aee7310fa6d461fb2ca41d9d1c4b5be1741ee2a,90
4,2600.473,5c4996e5beeb92f0ab3002dace83ab7f08ff62db456099f4203a297fa6395967,95
4,2600.3738,6c20be59f3a6e1a25025d2c045738eeb9c5d0180de900a3487b7e29d42410ce8,100
4,2600.2944,3a674c2907f1c252654a3a563996c912362ed22df1279e56c76af4a2418beb74,105
4,2600.2515,57c80584ceba95d46730165867685cd5fbc4d7c51c643415044b5607a1c68184,110
4,2600.1885,5a1aa3085fb2fe44733d355e857ace857c0252d6d9b5ac058f587de40c103dfe,115
4,2600.1667,a97849b98b2fa52a4f789c0ebdc08eaeacdb7882e6fdb22805ef6df88007fa24,120
4,2600.1633,590a428e11d5fb9be766c33648b92806c8d172496cfd634ab94c2f448dfbe82a,130
4,2600.156,ee43eb9db2bc45ea3703dc36e691f82f4f2155d30b8aacd9d9f580fffdd99a47,135
4,2600.1501,233a1232a7521d990be389c9ffed35c02550aaf9f861101ec29a73c1c4f56f4a,140
5,2848.3328,8ff13920e7444c6d6f4ae7e8055215b528eaf59d40e4576c2679c63b309624ae,0
5,2666.433,4ea622067903ed55058ee65dcf60da51b1737e32b861168db235668eb2d6e707,5
5,2617.5637,caa35fcace61cbaeb3dca2ffd2d8aa50ad36a8732652e34e724bf88c560556f2,10
5,2614.8337,98bf45f8ebc7e39ad8228eded29e5192e1cb7ad01f8f58e72959350d4a65fffb,15
5,2611.3809,a0de060e60eb0f39be5f74fac47ea6ef06b4bc5a8f03fa97e9fa0cd313b4b50f,20
5,2608.195,ff98ba45d3b5c5253a4fa17c6b7839f2a566dad113d0207636482f36f3198b81,25
5,2606.5815,7b6d1a74b85f34c54fa3beba2c90867651ea326a6edfcf51cd343e7264b43fbe,30
5,2602.5825,b3420e3c2b3362c3f19489abb0b226361ed836d8df466c6e02cee3d1482c0e19,35
5,2601.3333,c8f6e45b4724c144cf98ad172533f2056252587208efbdeb990c7e0f1f52fa08,40
5,2601.166,ddc572b6dd73d3677cd8bb15bc39d1e27e3cb1f9dba61aa70bc896e6502a85c6,45
5,2600.984,a5c5544ac14763b21735969cd624d229ac904d139d1301aed3ca3551e8294c8e,50
5,2600.773,af32f0cf83cd0c40e53901988807e955238e7b7c890427609bb906161a260076,55
5,2600.5476,4d39541b2e71db4d31ba69e937d3c73c9289163cf88f72338f9959452bab5143,60
5,2600.4668,818e9d782a63211b8c52063fb76eba7cad261fabdb29d5d439bb8cca4bbbef9e,65
5,2600.3806,66a8b04f167c119532c276bf01ecbc7dfeb9e6bb333cc44853e5e05c217590c9,70
5,2600.235,a6fad4941558087d411f75ed09b5e1e25b9967ad1ae12f7688f1afa983fb7ef9,75
5,2600.2017,4a16b89118a3a1562b6d284829e4f0cb962fc68804791252cb48efc5b059ed51,80
