run_no,best_fitness,genotype_hash,timestamp
1,3143.829,0*1*1*0*1*1*1*1*1*1*1*0*1*0*0*1*1*0*0*0,0
1,3049.462,0*1*1*0*1*1*1*1*1*1*1*0*1*0*0*1*1*0*1*0,5
1,3028.3032,0*1*1*0*1*1*1*1*1*1*1*0*1*0*0*1*1*0*1*0,10
1,3016.3464,0*1*1*0*1*1*1*1*1*1*1*0*1*0*0*1*1*0*1*0,15
1,3002.7021,0*1*1*0*1*1*1*1*1*1*1*0*1*0*0*1*1*0*1*0,20
1,2993.2598,0*1*1*0*1*1*1*1*1*1*1*0*1*0*0*1*1*0*1*0,25
1,2989.5178,0*1*1*0*1*1*1*1*1*1*1*0*1*0*0*1*1*0*1*0,30
1,2988.3623,0*1*1*0*1*1*1*1*1*1*1*0*1*0*0*1*1*0*1*0,35
1,2986.7812,0*1*1*0*1*1*1*1*1*1*1*0*1*0*0*1*1*0*1*0,40
1,2985.3157,0*1*1*0*1*1*1*1*1*1*1*0*1*0*0*1*1*0*1*0,45
1,2984.0217,0*1*1*0*1*1*1*1*1*1*1*0*1*0*0*1*1*0*1*0,50
1,2983.6108,0*1*1*0*1*1*1*1*1*1*1*0*1*0*0*1*1*0*1*0,55
1,2981.3162,0*1*1*0*1*1*1*1*1*1*1*0*1*0*0*1*1*0*1*0,60
1,2981.1016,0*1*1*0*1*1*1*1*1*1*1*0*1*0*0*1*1*0*1*0,65
1,2979.7195,0*1*1*0*1*1*1*1*1*1*1*0*1*0*0*1*1*0*1*0,70
1,2979.2175,0*1*1*0*1*1*1*1*1*1*1*0*1*0*0*1*1*0*1*0,75
1,2979.09,0*1*1*0*1*1*1*1*1*1*1*0*1*0*0*1*1*0*1*0,80
1,2978.404,0*1*1*0*1*1*1*1*1*1*1*0*1*0*0*1*1*0*1*0,85
1,2978.093,0*1*1*0*1*1*1*1*1*1*1*0*1*0*0*1*1*0*1*0,90
1,2977.8438,0*1*1*0*1*1*1*1*1*1*1*0*1*0*0*1*1*0*1*0,95
1,2977.403,0*1*1*0*1*1*1*1*1*1*1*0*1*0*0*1*1*0*1*0,100
1,2976.9978,0*1*1*0*1*1*1*1*1*1*1*0*1*0*0*1*1*0*1*0,105
1,2976.987,0*1*1*0*1*1*1*1*1*1*1*0*1*0*0*1*1*0*1*0,110
1,2976.9329,0*1*1*0*1*1*1*1*1*1*1*0*1*0*0*1*1*0*1*0,115
1,2976.8936,0*1*1*0*1*1*1*1*1*1*1*0*1*0*0*1*1*0*1*0,120
1,2976.7627,0*1*1*0*1*1*1*1*1*1*1*0*1*0*0*1*1*0*1*0,125
1,2976.7542,0*1*1*0*1*1*1*1*1*1*1*0*1*0*0*1*1*0*1*0,130
1,2976.7217,0*1*1*0*1*1*1*1*1*1*1*0*1*0*0*1*1*0*1*0,135
1,2976.5366,0*1*1*0*1*1*1*1*1*1*1*0*1*0*0*1*1*0*1*0,145
1,2976.3474,0*1*1*0*1*1*1*1*1*1*1*0*1*0*0*1*1*0*1*0,150
1,2976.052,0*1*1*0*1*1*1*1*1*1*1*0*1*0*0*1*1*0*1*0,155
1,2975.9844,0*1*1*0*1*1*1*1*1*1*1*0*1*0*0*1*1*0*1*0,160
1,2975.9739,0*1*1*0*1*1*1*1*1*1*1*0*1*0*0*1*1*0*1*0,165
1,2975.6873,0*1*1*0*1*1*1*1*1*1*1*0*1*0*0*1*1*0*1*0,170
1,2975.6738,0*1*1*0*1*1*1*1*1*1*1*0*1*0*0*1*1*0*1*0,175
1,2975.5974,0*1*1*0*1*1*1*1*1*1*1*0*1*0*0*1*1*0*1*0,180
1,2975.5583,0*1*1*0*1*1*1*1*1*1*1*0*1*0*0*1*1*0*1*0,185
1,2975.4714,0*1*1*0*1*1*1*1*1*1*1*0*1*0*0*1*1*0*1*0,190
1,2975.464,0*1*1*0*1*1*1*1*1*1*1*0*1*0*0*1*1*0*1*0,195
1,2975.4512,0*1*1*0*1*1*1*1*1*1*1*0*1*0*0*1*1*0*1*0,200
1,2975.317,0*1*1*0*1*1*1*1*1*1*1*0*1*0*0*1*1*0*1*0,205
1,2975.3127,0*1*1*0*1*1*1*1*1*1*1*0*1*0*0*1*1*0*1*0,210
2,3128.3499,1*1*0*1*1*1*1*1*0*1*0*0*1*0*0*1*1*0*0*0,0
2,3109.7993,1*1*0*1*1*1*1*1*0*1*0*0*1*0*0*1*1*0*0*0,5
2,3100.2156,1*1*0*1*1*1*1*1*0*1*0*0*1*0*0*1*1*0*0*0,10
2,3096.894,1*1*0*1*1*1*1*1*0*1*0*0*1*0*0*1*1*0*0*0,15
