 Time_Seconds Best_Fitness
0 5.0 481609
4 25.0 481609
8 45.0 435315
12 65.0 413706
16 85.0 401335
20 105.0 375805
24 125.0 363001
28 145.0 355488
32 165.0 331813
36 185.0 322239
40 205.0 314977
44 225.0 307057
48 245.0 295008
52 265.0 290113
56 285.0 277540
60 305.0 269412
64 325.0 262167
68 345.0 257420
72 365.0 255028
76 385.0 251919
80 405.0 246012
84 425.0 243208
88 445.0 239283
92 465.0 234161
96 485.0 230143
100 505.0 227385
104 525.0 224679
108 545.0 220184
112 565.0 219047
116 585.0 217503
120 605.0 214021
124 625.0 211495
128 645.0 211185
132 665.0 209921
136 685.0 208394
140 705.0 207781
144 725.0 207119
148 745.0 205574
152 765.0 204776
156 785.0 203997
160 805.0 203987
164 825.0 203256
168 845.0 202840
172 865.0 202618
176 885.0 201935
180 905.0 201884
184 925.0 200986
188 945.0 199798
192 965.0 198425
196 985.0 197464
200 1005.0 195097
204 1025.0 195097
208 1045.0 193528
212 1065.0 193522
216 1085.0 193232
220 1105.0 191931
224 1125.0 191296
228 1145.0 191016
232 1165.0 189875
236 1185.0 189875
240 1205.0 189875
244 1225.0 189875
248 1245.0 189306
252 1265.0 188744
256 1285.0 188235
260 1305.0 187564
264 1325.0 186464
268 1345.0 185378
272 1365.0 183869
276 1385.0 183498
280 1405.0 182671
284 1425.0 182671
288 1445.0 182671
292 1465.0 181749
296 1485.0 180959
300 1505.0 180451
304 1525.0 178762
308 1545.0 178762
312 1565.0 178762
316 1585.0 178762
320 1605.0 176638
324 1625.0 176344
328 1645.0 174321
332 1665.0 173772
336 1685.0 173772
340 1705.0 173772
344 1725.0 173772
348 1745.0 173772
352 1765.0 172276
356 1785.0 171673
360 1805.0 171658
364 1825.0 170001
368 1845.0 169008
372 1865.0 168093
376 1885.0 167766
380 1905.0 167766
384 1925.0 167766
388 1945.0 167766
392 1965.0 167766
396 1985.0 166974
400 2005.0 166283
404 2025.0 164944
408 2045.0 164944
412 2065.0 164944
416 2085.0 164944
420 2105.0 164944
424 2125.0 164944
428 2145.0 164346
432 2165.0 163560
436 2185.0 163341
440 2205.0 162925
444 2225.0 162925
448 2245.0 162925
452 2265.0 162925
456 2285.0 162925
460 2305.0 161913
464 2325.0 161695
468 2345.0 160198
472 2365.0 160198
476 2385.0 160198
480 2405.0 160198
484 2425.0 160198
488 2445.0 158855
