 Time_Seconds Best_Fitness
0 5.0 472616.0
4 25.0 440623.0
8 45.0 420179.0
12 65.0 405256.0
16 85.0 390517.0
20 105.0 376114.0
24 125.0 364104.0
28 145.0 353161.0
32 165.0 337383.0
36 185.0 326649.0
40 205.0 314472.0
44 225.0 302038.0
48 245.0 292756.0
52 265.0 279703.0
56 285.0 275509.0
60 305.0 268270.0
64 325.0 261991.0
68 345.0 256137.0
72 365.0 251507.0
76 385.0 245764.0
80 405.0 238528.0
84 425.0 235198.0
88 445.0 230226.0
92 465.0 227071.0
96 485.0 221513.0
100 505.0 219322.0
104 525.0 215813.0
108 545.0 214268.0
112 565.0 208802.0
116 585.0 206368.0
120 605.0 201065.0
124 625.0 197924.0
128 645.0 195642.0
132 665.0 192128.0
136 685.0 189535.0
140 705.0 186006.0
144 725.0 182078.0
148 745.0 179942.0
152 765.0 177699.0
156 785.0 174587.0
160 805.0 171745.0
164 825.0 169935.0
168 845.0 168358.0
172 865.0 166411.0
176 885.0 164188.0
180 905.0 160009.0
184 925.0 155607.0
188 945.0 154471.0
192 965.0 151656.0
196 985.0 150042.0
200 1005.0 148537.0
204 1025.0 146855.0
208 1045.0 145591.0
212 1065.0 143236.0
216 1085.0 142125.0
220 1105.0 140425.0
224 1125.0 138382.0
228 1145.0 136484.0
232 1165.0 134788.0
236 1185.0 133604.0
240 1205.0 131100.0
244 1225.0 130401.0
248 1245.0 128785.0
252 1265.0 127894.0
256 1285.0 126919.0
260 1305.0 125140.0
264 1325.0 123582.0
268 1345.0 122659.0
272 1365.0 121572.0
276 1385.0 119859.0
280 1405.0 118778.0
284 1425.0 118230.0
288 1445.0 116695.0
292 1465.0 116006.0
296 1485.0 114987.0
300 1505.0 113821.0
304 1525.0 112655.0
308 1545.0 111411.0
312 1565.0 110700.0
316 1585.0 109898.0
320 1605.0 107704.0
324 1625.0 106246.0
328 1645.0 105062.0
332 1665.0 103979.0
336 1685.0 103025.0
340 1705.0 101643.0
344 1725.0 100908.0
348 1745.0 100176.0
352 1765.0 99329.0
356 1785.0 98740.0
360 1805.0 98248.0
364 1825.0 97605.0
368 1845.0 96555.0
372 1865.0 95983.0
376 1885.0 95179.0
380 1905.0 94302.0
384 1925.0 93856.0
388 1945.0 92758.0
392 1965.0 92276.0
396 1985.0 91438.0
400 2005.0 90765.0
404 2025.0 89270.0
408 2045.0 88125.0
412 2065.0 87432.0
416 2085.0 86475.0
420 2105.0 85962.0
424 2125.0 85249.0
428 2145.0 84609.0
432 2165.0 83899.0
436 2185.0 83063.0
440 2205.0 82227.0
444 2225.0 81530.0
448 2245.0 80952.0
452 2265.0 80203.0
456 2285.0 79406.0
460 2305.0 78699.0
464 2325.0 78346.0
468 2345.0 77649.0
472 2365.0 76760.0
476 2385.0 75835.0
480 2405.0 75097.0
484 2425.0 74461.0
